title,link
"Grandparents are glued to their phones, families are worried [video] (bbc.com)",https://www.bbc.com/reel/video/p0n61dg3/grandparents-are-glued-to-their-phones-families-are-worried
What makes Intel Optane stand out (2023) (zuthof.nl),https://blog.zuthof.nl/2023/06/02/what-makes-intel-optane-stand-out/
Tech companies defeat bill as AI drains local water supplies (theolympus.net),https://www.theolympus.net/13531/
Separating the Wayland Compositor and Window Manager (isaacfreund.com),https://isaacfreund.com/blog/river-window-management/
Glassworm Is Back: A New Wave of Invisible Unicode Attacks Hits Repositories (aikido.dev),https://www.aikido.dev/blog/glassworm-returns-unicode-attack-github-npm-vscode
"Show HN: GDSL – 800 line kernel: Lisp subset in 500, C subset in 1300 (firthemouse.github.io)",https://firthemouse.github.io/
A Visual Introduction to Machine Learning (2015) (r2d3.us),https://r2d3.us/visual-intro-to-machine-learning-part-1/
C++26: The Oxford Variadic Comma (sandordargo.com),https://www.sandordargo.com/blog/2026/03/11/cpp26-oxford-variadic-comma
Hollywood Enters Oscars Weekend in Existential Crisis (theculturenewspaper.com),https://www.theculturenewspaper.com/hollywood-enters-oscars-weekend-in-existential-crisis/
Show HN: Signet – Autonomous wildfire tracking from satellite and weather data (signet.watch),https://signet.watch
Rack-mount hydroponics (lj.am),https://sa.lj.am/rack-mount-hydroponics/
Show HN: What if your synthesizer was powered by APL (or a dumb K clone)? (octetta.github.io),https://octetta.github.io/k-synth/
Kniterate Notes (agnescameron.info),https://soup.agnescameron.info//2026/03/07/kniterate-notes.html
UMD Scientists Create 'Smart Underwear' to Measure Human Flatulence (umd.edu),https://cbmg.umd.edu/news-events/news/brantley-hall-umd-scientists-create-smart-underwear-measure-human-flatulence
Zipp 2001 Restoration (robot-daycare.com),https://robot-daycare.com/posts/zipp-2001-restoration-part-1/
"IBM, sonic delay lines, and the history of the 80×24 display (2019) (righto.com)",https://www.righto.com/2019/11/ibm-sonic-delay-lines-and-history-of.html
Generating All 32-Bit Primes (Part I) (hnlyman.github.io),https://hnlyman.github.io/pages/prime32_I.html
$96 3D-printed rocket that recalculates its mid-air trajectory using a $5 sensor (github.com/novatic14),https://github.com/novatic14/MANPADS-System-Launcher-and-Rocket
The 100 hour gap between a vibecoded prototype and a working product (macbudkowski.com),https://kanfa.macbudkowski.com/vibecoding-cryptosaurus
How kernel anti-cheats work (s4dbrd.github.io),https://s4dbrd.github.io/posts/how-kernel-anti-cheats-work/
A most elegant TCP hole punching algorithm (robertsdotpm.github.io),https://robertsdotpm.github.io/cryptography/tcp_hole_punching.html
Learning athletic humanoid tennis skills from imperfect human motion data (zzk273.github.io),https://zzk273.github.io/LATENT/
Why Mathematica does not simplify sinh(arccosh(x)) (johndcook.com),https://www.johndcook.com/blog/2026/03/10/sinh-arccosh/
The Webpage Has Instructions. The Agent Has Your Credentials (openguard.sh),https://openguard.sh/blog/prompt-injections/
Treasure hunter freed from jail after refusing to turn over shipwreck gold (bbc.com),https://www.bbc.com/news/articles/cg4g7kn99q3o
"Allow me to get to know you, mistakes and all (sebi.io)",https://sebi.io/posts/2026-03-14-allow-me-to-get-to-know-you-mistakes-and-all/
Human Organ Atlas (science.org),https://www.science.org/doi/10.1126/sciadv.adz2240
Examples for the tcpdump and dig man pages (jvns.ca),https://jvns.ca/blog/2026/03/10/examples-for-the-tcpdump-and-dig-man-pages/
SuperTux 0.7.0 (github.com/supertux),https://github.com/SuperTux/supertux/releases/tag/v0.7.0
Show HN: Han – A Korean programming language written in Rust (github.com/xodn348),https://github.com/xodn348/han
