company,location,description
"AirbnbSan Francisco, CA, USA",Book accommodations around the world.,WINTER 2009
"DoorDashSan Francisco, CA, USA",Restaurant delivery.,SUMMER 2013
"CoinbaseSan Francisco, CA, USA","Buy, sell, and manage cryptocurrencies.",SUMMER 2012
"GrowwBengaluru, KA, India","Making financial services simple, transparent and delightful.",WINTER 2018
"InstacartSan Francisco, CA, USA",Marketplace for grocery delivery and pickup,SUMMER 2012
"OkloSanta Clara, CA, USA","Emission free, always on power from advanced fission power plants.",SUMMER 2014
"MeeshoBengaluru, KA, India",Democratizing internet commerce for everyone in India,SUMMER 2016
"DropboxSan Francisco, CA, USA",Backup and share files in the cloud.,SUMMER 2007
"EquipmentShareColumbia, MO, USA",Cloud solutions for the construction industry.,WINTER 2015
"Rigetti ComputingBerkeley, CA, USA",Quantum coherent supercomputing.,SUMMER 2014
"GitLabSan Francisco, CA, USA",A complete DevOps platform delivered as a single application.,WINTER 2015
"BillionToOneMenlo Park, CA, USA",The genetic testing platform detecting and measuring disease.,SUMMER 2017
"MatterportSunnyvale, CA, USA",Turn physical objects and environments into 3D models in seconds.,WINTER 2012
"AmplitudeSan Francisco, CA, USA",Digital Analytics Platform,WINTER 2012
"PagerDutySan Francisco, CA, USA",Real-time visibility into critical apps and services all in one place.,SUMMER 2010
"Ginkgo BioworksBoston, MA, USA",Our mission is to make biology easier to engineer.,SUMMER 2014
"WeaveLehi, UT, USA",Customer communication and payments platform.,WINTER 2014
"Pardes BiosciencesSan Francisco, CA, USA",We break viruses,SUMMER 2020
"Embark TrucksSan Francisco, CA, USA",Self-driving semi trucks.,WINTER 2016
"Lucira HealthEmeryville, CA, USA",Next generation infectious disease test kits,WINTER 2015
"MomentusSanta Clara, CA, USA",The space infrastructure services company,SUMMER 2018
"SegmentSan Francisco, CA, USA","Software and APIs to collect, clean, and control customer data.",SUMMER 2011
"AlgoliaSan Francisco, CA, USA",A developer-friendly and enterprise-grade search API.,WINTER 2014
"TruebillSilver Spring, MD, USA",Live your best financial life,WINTER 2016
"TwitchSan Francisco, CA, USA",A global community creating the future of live entertainment.,WINTER 2007
"PlanGridSan Francisco, CA, USA",Mobile applications for the construction industry.,WINTER 2012
"BellabeatSan Francisco, CA, USA",Tech-powered women's wellness.,WINTER 2014
"CruiseSan Francisco, CA, USA",Self-driving cars.,WINTER 2014
"BenchlingSan Francisco, CA, USA",Unlocking the power of biotech with modern software for modern science,SUMMER 2012
"CasetextSan Francisco, CA, USA",We make the world's laws free and understandable.,SUMMER 2013
